Role,Username,Repo Name,Repo URL,Languages,Stargazers,Contributors,Subscribers,Pulls,Commits,Size,Followers,Following,kmeans_N,labels
Data Scientist,JayKimBravekjh,AnomalyDetection.jl,https://github.com/JayKimBravekjh/AnomalyDetection.jl,"Julia, Shell",0,3,3,0,0,76500,76,11,0,0
Data Scientist,JayKimBravekjh,AnomalyDetector,https://github.com/JayKimBravekjh/AnomalyDetector,"C#, Jupyter Notebook, Java, Python, TypeScript, Go, Ruby",0,8,1,0,0,1828,76,11,0,0
Data Scientist,JayKimBravekjh,ansible,https://github.com/JayKimBravekjh/ansible,"Python, PowerShell, Shell, C#, Makefile, Tcl, Roff, Go, DIGITAL Command Language, JavaScript, Dockerfile, SQLPL, TSQL, Batchfile, HTML",0,30,1,0,0,190456,76,11,8,0
Data Scientist,JayKimBravekjh,Applied-Deep-Learning-with-TensorFlow,https://github.com/JayKimBravekjh/Applied-Deep-Learning-with-TensorFlow,"Jupyter Notebook, Python, Shell",0,2,1,0,0,3914,76,11,0,0
Data Scientist,JayKimBravekjh,applied-ml,https://github.com/JayKimBravekjh/applied-ml,,0,21,1,0,0,1034,76,11,8,0
Data Scientist,JayKimBravekjh,arrow,https://github.com/JayKimBravekjh/arrow,"C++, Java, Python, TypeScript, C, CMake, Ruby, JavaScript, Shell, Makefile, HTML, Go, Meson, Batchfile, Lua, M4, CSS, Perl, Awk, FreeMarker",0,30,2,0,0,10881,76,11,8,0
Data Scientist,JayKimBravekjh,asc_triplet,https://github.com/JayKimBravekjh/asc_triplet,"Jupyter Notebook, Python",0,2,2,0,0,443,76,11,0,0
Data Scientist,JayKimBravekjh,aspect-document-similarity,https://github.com/JayKimBravekjh/aspect-document-similarity,"Jupyter Notebook, Python, Shell",0,1,1,0,0,444,76,11,0,0
Data Scientist,JayKimBravekjh,Attention-Based-BiLSTM-relation-extraction,https://github.com/JayKimBravekjh/Attention-Based-BiLSTM-relation-extraction,"Python, Perl",0,2,2,0,0,2347,76,11,0,0
Data Scientist,JayKimBravekjh,attentional-interfaces,https://github.com/JayKimBravekjh/attentional-interfaces,"Jupyter Notebook, CSS, Shell, Python, Makefile",0,2,2,0,0,88627,76,11,0,0
Data Scientist,JayKimBravekjh,auto-drac,https://github.com/JayKimBravekjh/auto-drac,Python,0,1,2,0,0,7059,76,11,0,0
Data Scientist,JayKimBravekjh,Auto-GPT,https://github.com/JayKimBravekjh/Auto-GPT,"Python, Dockerfile, JavaScript, Shell, Batchfile",0,30,1,0,0,1815,76,11,8,0
Data Scientist,JayKimBravekjh,auto-sklearn,https://github.com/JayKimBravekjh/auto-sklearn,"Python, Shell, Makefile",0,24,2,0,0,10471,76,11,8,0
Data Scientist,JayKimBravekjh,automate-eGPU,https://github.com/JayKimBravekjh/automate-eGPU,"Shell, Swift",0,2,2,0,0,120,76,11,0,0
Data Scientist,JayKimBravekjh,automl-gs,https://github.com/JayKimBravekjh/automl-gs,Python,0,7,2,0,0,572,76,11,0,0
Data Scientist,JayKimBravekjh,automlr,https://github.com/JayKimBravekjh/automlr,"R, Jupyter Notebook, Shell",0,1,2,0,0,899,76,11,0,0
Data Scientist,JayKimBravekjh,autoxgboost,https://github.com/JayKimBravekjh/autoxgboost,R,0,2,2,0,0,941,76,11,0,0
Data Scientist,JayKimBravekjh,awesome-anomaly-detection,https://github.com/JayKimBravekjh/awesome-anomaly-detection,,0,4,3,0,0,724,76,11,0,0
Data Scientist,JayKimBravekjh,awesome-deep-learning,https://github.com/JayKimBravekjh/awesome-deep-learning,,0,30,3,0,0,327,76,11,8,0
Data Scientist,JayKimBravekjh,awesome-elasticsearch,https://github.com/JayKimBravekjh/awesome-elasticsearch,,0,30,2,0,0,144,76,11,8,0
Data Scientist,JayKimBravekjh,Awesome-Geospatial,https://github.com/JayKimBravekjh/Awesome-Geospatial,,0,30,1,0,0,748,76,11,8,0
Data Scientist,JayKimBravekjh,awesome-malware-analysis,https://github.com/JayKimBravekjh/awesome-malware-analysis,,0,30,1,0,0,852,76,11,8,0
Data Scientist,JayKimBravekjh,awesome-nlp,https://github.com/JayKimBravekjh/awesome-nlp,,0,30,1,0,0,536,76,11,8,0
Data Scientist,JayKimBravekjh,awesome-papers,https://github.com/JayKimBravekjh/awesome-papers,,0,5,2,0,0,2360,76,11,0,0
Data Scientist,JayKimBravekjh,awesome-rl,https://github.com/JayKimBravekjh/awesome-rl,,0,27,3,0,0,104,76,11,8,0
Data Scientist,JayKimBravekjh,awesome-rnn,https://github.com/JayKimBravekjh/awesome-rnn,,0,24,3,0,0,269,76,11,8,0
Data Scientist,JayKimBravekjh,awesome-streaming,https://github.com/JayKimBravekjh/awesome-streaming,,0,9,2,0,0,80,76,11,0,0
Data Scientist,JayKimBravekjh,AWS,https://github.com/JayKimBravekjh/AWS,Python,0,1,2,0,2,1,76,11,0,0
Data Scientist,JayKimBravekjh,aws-cli,https://github.com/JayKimBravekjh/aws-cli,"Python, Shell, Batchfile",0,30,2,0,0,10868,76,11,8,0
Data Scientist,JayKimBravekjh,aws-toolkit-jetbrains,https://github.com/JayKimBravekjh/aws-toolkit-jetbrains,"Kotlin, Java",0,11,2,0,0,2241,76,11,0,0
Data Scientist,JayKimBravekjh,azure-docs,https://github.com/JayKimBravekjh/azure-docs,PowerShell,0,30,2,0,0,5810307,76,11,7,0
Data Scientist,JayKimBravekjh,Azure-Kinect-Image-Effects,https://github.com/JayKimBravekjh/Azure-Kinect-Image-Effects,,0,1,1,0,0,7133,76,11,0,0
Data Scientist,JayKimBravekjh,azure-quickstart-templates,https://github.com/JayKimBravekjh/azure-quickstart-templates,"Shell, PowerShell, Python, JavaScript, HCL, Perl, Java, XSLT, Ruby, CSS, HTML, Batchfile, Groovy, PHP, Dockerfile",0,30,2,0,0,327693,76,11,8,0
Data Scientist,JayKimBravekjh,bamboolib,https://github.com/JayKimBravekjh/bamboolib,"Jupyter Notebook, Python, Shell",0,2,1,0,0,146,76,11,0,0
Data Scientist,JayKimBravekjh,bandits,https://github.com/JayKimBravekjh/bandits,"Jupyter Notebook, Python",0,2,2,0,0,534,76,11,0,0
Data Scientist,JayKimBravekjh,banditvis,https://github.com/JayKimBravekjh/banditvis,"Python, Makefile",0,0,2,0,0,1760,76,11,0,0
Data Scientist,JayKimBravekjh,baselines,https://github.com/JayKimBravekjh/baselines,"Python, HTML, Dockerfile",0,30,2,0,0,5209,76,11,8,0
Data Scientist,JayKimBravekjh,baselines-results,https://github.com/JayKimBravekjh/baselines-results,Jupyter Notebook,0,6,2,0,0,5927,76,11,0,0
Data Scientist,JayKimBravekjh,bayesian_methods,https://github.com/JayKimBravekjh/bayesian_methods,R,0,1,3,0,0,37,76,11,0,0
Data Scientist,JayKimBravekjh,benchmarking-gnns,https://github.com/JayKimBravekjh/benchmarking-gnns,"Jupyter Notebook, Python, Shell",0,2,2,0,0,2372,76,11,0,0
Data Scientist,JayKimBravekjh,BERTopic,https://github.com/JayKimBravekjh/BERTopic,"Python, Makefile",0,1,1,0,0,2022,76,11,0,0
Data Scientist,JayKimBravekjh,bertVersusAll,https://github.com/JayKimBravekjh/bertVersusAll,"Jupyter Notebook, Python",0,1,1,0,0,30,76,11,0,0
Data Scientist,JayKimBravekjh,bertviz,https://github.com/JayKimBravekjh/bertviz,"Python, JavaScript, Jupyter Notebook",0,1,2,0,0,39,76,11,0,0
Data Scientist,JayKimBravekjh,beta_variational_autoencoders,https://github.com/JayKimBravekjh/beta_variational_autoencoders,Jupyter Notebook,0,1,2,0,0,25,76,11,0,0
Data Scientist,JayKimBravekjh,Bicycle-Collisions-in-Los-Angeles-2013-2018,https://github.com/JayKimBravekjh/Bicycle-Collisions-in-Los-Angeles-2013-2018,Jupyter Notebook,0,1,1,0,0,4407,76,11,0,0
Data Scientist,JayKimBravekjh,BicycleGAN,https://github.com/JayKimBravekjh/BicycleGAN,"Python, Shell, TeX",0,2,3,0,0,18080,76,11,0,0
Data Scientist,JayKimBravekjh,BiDAF,https://github.com/JayKimBravekjh/BiDAF,"Python, Shell",0,1,3,0,0,504,76,11,0,0
Data Scientist,JayKimBravekjh,Bidirectional-LSTM-with-attention-for-relation-classification,https://github.com/JayKimBravekjh/Bidirectional-LSTM-with-attention-for-relation-classification,Python,0,1,2,0,0,1820,76,11,0,0
Data Scientist,JayKimBravekjh,BigDL,https://github.com/JayKimBravekjh/BigDL,"Scala, Python, Shell, RobotFramework, Java, Lua",0,30,2,0,0,19669,76,11,8,0
Data Scientist,JayKimBravekjh,BigDL-Tutorials,https://github.com/JayKimBravekjh/BigDL-Tutorials,"Jupyter Notebook, Shell, Python",0,10,2,0,0,2023,76,11,0,0
Data Scientist,JayKimBravekjh,BigGANsAreWatching,https://github.com/JayKimBravekjh/BigGANsAreWatching,"Jupyter Notebook, Python, Shell",0,1,2,0,0,4197,76,11,0,0
Data Scientist,JayKimBravekjh,big_data,https://github.com/JayKimBravekjh/big_data,R,0,1,3,0,2,1,76,11,0,0
Data Scientist,JayKimBravekjh,bihm,https://github.com/JayKimBravekjh/bihm,Python,0,1,2,0,0,11064,76,11,0,0
Data Scientist,JayKimBravekjh,biobert,https://github.com/JayKimBravekjh/biobert,"Python, Perl, Shell",0,6,1,0,0,561,76,11,0,0
Data Scientist,JayKimBravekjh,biopandas,https://github.com/JayKimBravekjh/biopandas,"HTML, Jupyter Notebook, JavaScript, Python, CSS, Shell, TeX",0,4,1,0,0,19393,76,11,0,0
Data Scientist,JayKimBravekjh,blaze,https://github.com/JayKimBravekjh/blaze,"Python, Batchfile, Shell",0,30,1,0,0,22938,76,11,8,0
Data Scientist,JayKimBravekjh,blockchain,https://github.com/JayKimBravekjh/blockchain,"C#, Python",0,11,2,0,0,75,76,11,0,0
Data Scientist,JayKimBravekjh,blockchainADMM,https://github.com/JayKimBravekjh/blockchainADMM,"Jupyter Notebook, JavaScript",0,1,2,0,0,44,76,11,0,0
Data Scientist,JayKimBravekjh,Bob_Ross_Paintings,https://github.com/JayKimBravekjh/Bob_Ross_Paintings,"Python, Shell",0,1,1,0,0,81123,76,11,0,0
Data Scientist,JayKimBravekjh,bodywork-pymc3-project,https://github.com/JayKimBravekjh/bodywork-pymc3-project,"Jupyter Notebook, Python",0,1,1,0,0,2673,76,11,0,0
Data Scientist,JayKimBravekjh,bokeh,https://github.com/JayKimBravekjh/bokeh,"Python, TypeScript, CoffeeScript, CSS, JavaScript, HTML, Shell, Batchfile, Makefile",0,30,2,0,0,140470,76,11,8,0
Data Scientist,JayKimBravekjh,bokeh-notebooks,https://github.com/JayKimBravekjh/bokeh-notebooks,Jupyter Notebook,0,16,2,0,0,71284,76,11,8,0
Data Scientist,JayKimBravekjh,brms,https://github.com/JayKimBravekjh/brms,"R, HTML, TeX, Stan",0,8,2,0,0,149885,76,11,0,0
Data Scientist,JayKimBravekjh,build-tools,https://github.com/JayKimBravekjh/build-tools,"Python, Dockerfile, Shell, Makefile",0,1,1,0,0,80,76,11,0,0
Data Scientist,JayKimBravekjh,C,https://github.com/JayKimBravekjh/C,,0,1,2,0,8,5,76,11,0,0
Data Scientist,JayKimBravekjh,cabot,https://github.com/JayKimBravekjh/cabot,"JavaScript, Python, HTML, CSS, Shell, Dockerfile",0,30,2,0,0,2982,76,11,8,0
Data Scientist,JayKimBravekjh,CACL,https://github.com/JayKimBravekjh/CACL,"Python, Shell",0,1,1,0,0,34456,76,11,0,0
Data Scientist,JayKimBravekjh,CascadeTabNet,https://github.com/JayKimBravekjh/CascadeTabNet,Python,0,4,2,0,0,16947,76,11,0,0
Data Scientist,JayKimBravekjh,catalyst,https://github.com/JayKimBravekjh/catalyst,"Python, Shell, Makefile, Dockerfile",0,22,1,0,0,8959,76,11,8,0
Data Scientist,JayKimBravekjh,catboost,https://github.com/JayKimBravekjh/catboost,"Jupyter Notebook, C++, Python, Cuda, Makefile, R, JavaScript, C, CSS, Shell, Assembly, Batchfile, Java, CMake, PHP",0,30,3,0,0,75296,76,11,8,0
Data Scientist,JayKimBravekjh,categorical-encoding,https://github.com/JayKimBravekjh/categorical-encoding,"Python, Shell, TeX",0,18,1,0,0,41214,76,11,8,0
Data Scientist,JayKimBravekjh,causalml,https://github.com/JayKimBravekjh/causalml,Python,0,13,2,0,0,18140,76,11,0,0
Data Scientist,JayKimBravekjh,causalnex,https://github.com/JayKimBravekjh/causalnex,"Python, Shell, Makefile",0,6,1,0,0,3254,76,11,0,0
Data Scientist,JayKimBravekjh,causal_RL,https://github.com/JayKimBravekjh/causal_RL,"Jupyter Notebook, Python",0,1,1,0,0,6594,76,11,0,0
Data Scientist,ylmz-dev,3d-bin-packing-problem,https://github.com/ylmz-dev/3d-bin-packing-problem,Python,15,2,1,0,4,5972,86,84,0,0
Data Scientist,ylmz-dev,AlarmSystem-Vivado-Basys3,https://github.com/ylmz-dev/AlarmSystem-Vivado-Basys3,"VHDL, Verilog, Tcl, JavaScript, Shell, HTML, Batchfile, Coq, Pascal",0,1,1,0,3,3211,86,84,0,0
Data Scientist,ylmz-dev,bert-classification-nlp,https://github.com/ylmz-dev/bert-classification-nlp,"Jupyter Notebook, Python",1,2,3,0,21,7074,86,84,5,0
Data Scientist,ylmz-dev,binary-search-tree,https://github.com/ylmz-dev/binary-search-tree,C#,0,1,2,0,3,17,86,84,0,0
Data Scientist,ylmz-dev,Crypto-Shopping,https://github.com/ylmz-dev/Crypto-Shopping,Java,0,2,1,0,9,6607,86,84,0,0
Data Scientist,ylmz-dev,EventFinder,https://github.com/ylmz-dev/EventFinder,Java,0,1,1,0,13,8601,86,84,0,0
Data Scientist,ylmz-dev,HeadSoccer,https://github.com/ylmz-dev/HeadSoccer,Java,0,1,1,0,2,13417,86,84,0,0
Data Scientist,ylmz-dev,LightFollower-LegoMindstorm,https://github.com/ylmz-dev/LightFollower-LegoMindstorm,,0,1,1,0,3,32,86,84,0,0
Data Scientist,ylmz-dev,LoginSystem,https://github.com/ylmz-dev/LoginSystem,PHP,0,1,1,0,1,7,86,84,0,0
Data Scientist,ylmz-dev,neural-network-from-scratch,https://github.com/ylmz-dev/neural-network-from-scratch,Python,1,1,2,0,3,2,86,84,0,0
Data Scientist,ylmz-dev,perceptron-algorithm-from-scratch,https://github.com/ylmz-dev/perceptron-algorithm-from-scratch,Python,0,1,2,0,4,1,86,84,0,0
Data Scientist,ylmz-dev,perceptron-lms-algorithm-from-scratch,https://github.com/ylmz-dev/perceptron-lms-algorithm-from-scratch,Python,0,1,2,0,2,1,86,84,0,0
Data Scientist,ylmz-dev,Selenium-Python-Tests,https://github.com/ylmz-dev/Selenium-Python-Tests,Python,0,1,1,0,4,5,86,84,0,0
Data Scientist,ylmz-dev,SmartCoachHelper,https://github.com/ylmz-dev/SmartCoachHelper,Java,0,1,1,0,2,169,86,84,0,0
Data Scientist,ylmz-dev,umityilmaz.info,https://github.com/ylmz-dev/umityilmaz.info,"CSS, HTML, JavaScript",0,1,1,0,30,15639,86,84,5,0
Data Scientist,matt-staton,Advanced_Predictive_Modeling,https://github.com/matt-staton/Advanced_Predictive_Modeling,Jupyter Notebook,0,1,1,0,2,3795,72,13,0,0
Data Scientist,matt-staton,awesome-deep-learning-papers,https://github.com/matt-staton/awesome-deep-learning-papers,"TeX, Python",0,17,1,0,0,124,72,13,8,0
Data Scientist,matt-staton,awesome-quant,https://github.com/matt-staton/awesome-quant,,0,5,1,0,0,14,72,13,0,0
Data Scientist,matt-staton,data-science-ipython-notebooks,https://github.com/matt-staton/data-science-ipython-notebooks,"Python, CSS, Makefile",0,8,1,0,0,26799,72,13,0,0
Data Scientist,matt-staton,Document2Vec,https://github.com/matt-staton/Document2Vec,Python,0,1,1,0,0,3820,72,13,0,0
Data Scientist,matt-staton,Getting-and-cleaning-Data-Course-Project,https://github.com/matt-staton/Getting-and-cleaning-Data-Course-Project,R,0,1,1,0,0,244,72,13,0,0
Data Scientist,matt-staton,Hello-world,https://github.com/matt-staton/Hello-world,,0,1,1,0,3,1,72,13,0,0
Data Scientist,matt-staton,insider-trading-python-tutorial,https://github.com/matt-staton/insider-trading-python-tutorial,Jupyter Notebook,2,1,1,0,0,135,72,13,0,0
Data Scientist,matt-staton,lessons,https://github.com/matt-staton/lessons,"OpenEdge ABL, Jupyter Notebook, HTML, MATLAB, Python, Shell",0,9,1,0,0,236449,72,13,0,0
Data Scientist,matt-staton,mis184n-social-media-analytics,https://github.com/matt-staton/mis184n-social-media-analytics,Jupyter Notebook,1,1,1,0,0,618,72,13,0,0
Data Scientist,matt-staton,mis184n-text-analytics,https://github.com/matt-staton/mis184n-text-analytics,Jupyter Notebook,0,1,1,0,0,12493,72,13,0,0
Data Scientist,matt-staton,Mkt_finalproject,https://github.com/matt-staton/Mkt_finalproject,Jupyter Notebook,0,2,1,0,5,70,72,13,0,0
Data Scientist,matt-staton,Open-Data-Scraper,https://github.com/matt-staton/Open-Data-Scraper,"Python, Jupyter Notebook",0,2,1,0,0,47280,72,13,0,0
Data Scientist,matt-staton,predictive_analytics_carlos,https://github.com/matt-staton/predictive_analytics_carlos,,0,1,1,0,1,5,72,13,0,0
Data Scientist,matt-staton,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/matt-staton/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,"Jupyter Notebook, Python, HTML, CSS, Shell",0,30,1,0,0,83887,72,13,8,0
Data Scientist,matt-staton,Python-working-fbscraping,https://github.com/matt-staton/Python-working-fbscraping,Python,0,1,1,0,0,124,72,13,0,0
Data Scientist,matt-staton,PythonDataScienceHandbook,https://github.com/matt-staton/PythonDataScienceHandbook,"Jupyter Notebook, Python",1,1,1,0,0,13990,72,13,0,0
Data Scientist,matt-staton,quant-finance,https://github.com/matt-staton/quant-finance,"Jupyter Notebook, Python",0,1,1,0,0,8013,72,13,0,0
Data Scientist,matt-staton,Spark_SQL_Hadoop,https://github.com/matt-staton/Spark_SQL_Hadoop,"HTML, Jupyter Notebook, Python",0,1,1,0,2,23581,72,13,0,0
Data Scientist,matt-staton,STA380,https://github.com/matt-staton/STA380,R,0,2,1,0,0,40081,72,13,0,0
Data Scientist,matt-staton,stat_380,https://github.com/matt-staton/stat_380,,0,1,1,0,3,172,72,13,0,0
Data Scientist,qwshy,100-pandas-puzzles,https://github.com/qwshy/100-pandas-puzzles,Jupyter Notebook,0,6,2,0,0,156,59,21,0,0
Data Scientist,qwshy,120-Data-Science-Interview-Questions,https://github.com/qwshy/120-Data-Science-Interview-Questions,,0,7,1,0,0,40,59,21,0,0
Data Scientist,qwshy,2012-paper-diginorm,https://github.com/qwshy/2012-paper-diginorm,"Jupyter Notebook, TeX, Python, Makefile, Shell",0,2,2,0,0,3368,59,21,0,0
Data Scientist,qwshy,500lines,https://github.com/qwshy/500lines,"JavaScript, Python, Haskell, Ruby, Clojure, Erlang, Jupyter Notebook, TeX, Java, Common Lisp, HTML, Alloy, Julia, Lua, LiveScript, Makefile, CSS, Shell, CoffeeScript",0,30,2,0,0,61625,59,21,8,0
Data Scientist,qwshy,adaboost,https://github.com/qwshy/adaboost,Python,0,1,2,0,0,140,59,21,0,0
Data Scientist,qwshy,Agriculture_KnowledgeGraph,https://github.com/qwshy/Agriculture_KnowledgeGraph,"Python, Jupyter Notebook, Shell",0,2,2,0,0,271800,59,21,0,0
Data Scientist,qwshy,angel,https://github.com/qwshy/angel,"Java, Scala, Shell, CSS",0,16,2,0,0,26647,59,21,8,0
Data Scientist,qwshy,appengine-mapreduce,https://github.com/qwshy/appengine-mapreduce,"Python, Java, JavaScript, HTML, CSS, Shell",0,18,2,0,0,14148,59,21,8,0
Data Scientist,qwshy,autokeras,https://github.com/qwshy/autokeras,"Python, Dockerfile, Shell",0,30,1,0,0,70399,59,21,8,0
Data Scientist,qwshy,avito-duplicates-kaggle,https://github.com/qwshy/avito-duplicates-kaggle,"Python, Java",0,2,2,0,0,30961,59,21,0,0
Data Scientist,qwshy,awesome-community-detection,https://github.com/qwshy/awesome-community-detection,,0,6,1,0,0,2757,59,21,0,0
Data Scientist,qwshy,awesome-ensemble-learning,https://github.com/qwshy/awesome-ensemble-learning,Python,0,1,1,0,0,15,59,21,0,0
Data Scientist,qwshy,awesome-graph,https://github.com/qwshy/awesome-graph,,0,11,1,0,0,23,59,21,0,0
Data Scientist,qwshy,awesome-python,https://github.com/qwshy/awesome-python,"Python, Makefile",0,30,2,0,0,4347,59,21,8,0
Data Scientist,qwshy,awesome-python-cn,https://github.com/qwshy/awesome-python-cn,,0,3,2,0,0,48,59,21,0,0
Data Scientist,qwshy,Awesome-PyTorch-Chinese,https://github.com/qwshy/Awesome-PyTorch-Chinese,Python,0,1,1,0,0,73,59,21,0,0
Data Scientist,qwshy,Awesome-pytorch-list,https://github.com/qwshy/Awesome-pytorch-list,,0,30,1,0,0,603,59,21,8,0
Data Scientist,qwshy,awesome-rl,https://github.com/qwshy/awesome-rl,,0,21,2,0,0,86,59,21,8,0
Data Scientist,qwshy,awesome-sentence-embedding,https://github.com/qwshy/awesome-sentence-embedding,Python,0,3,1,0,0,269,59,21,0,0
Data Scientist,qwshy,awesome-shell,https://github.com/qwshy/awesome-shell,,0,30,2,0,0,299,59,21,8,0
Data Scientist,qwshy,azure-sdk-for-python,https://github.com/qwshy/azure-sdk-for-python,"Python, Batchfile, Shell, PowerShell",0,30,2,0,0,32888,59,21,8,0
Data Scientist,qwshy,babun,https://github.com/qwshy/babun,"Shell, Groovy, Batchfile, Vim Script, Visual Basic",0,30,2,0,0,68895,59,21,8,0
Data Scientist,qwshy,baselines,https://github.com/qwshy/baselines,Python,0,30,2,0,0,4712,59,21,8,0
Data Scientist,qwshy,bert,https://github.com/qwshy/bert,"Python, Jupyter Notebook",0,23,1,0,0,234,59,21,8,0
Data Scientist,qwshy,bitcoinbook,https://github.com/qwshy/bitcoinbook,"Python, HTML, C++, Go, CSS, JavaScript",0,30,2,0,0,43275,59,21,8,0
Data Scientist,qwshy,bokeh,https://github.com/qwshy/bokeh,"Python, CoffeeScript, CSS, TypeScript, HTML, Shell, JavaScript, Makefile, Batchfile, Jupyter Notebook",0,30,2,0,0,150255,59,21,8,0
Data Scientist,qwshy,boost-python-examples,https://github.com/qwshy/boost-python-examples,"C++, CMake, Python, Shell",0,1,2,0,0,262,59,21,0,0
Data Scientist,qwshy,boost_python_tutorial,https://github.com/qwshy/boost_python_tutorial,"Jupyter Notebook, Python, C++, Smarty",0,1,2,0,0,3194,59,21,0,0
Data Scientist,qwshy,boto,https://github.com/qwshy/boto,Python,0,30,2,0,0,29427,59,21,8,0
Data Scientist,qwshy,c3crm,https://github.com/qwshy/c3crm,"PHP, Smarty, JavaScript, CSS, HTML, Batchfile, Shell",0,2,2,0,0,9886,59,21,0,0
Data Scientist,qwshy,caffe-tensorflow,https://github.com/qwshy/caffe-tensorflow,Python,0,3,2,0,0,76,59,21,0,0
Data Scientist,qwshy,CNTK,https://github.com/qwshy/CNTK,"C++, Python, Cuda, Jupyter Notebook, Shell, Makefile, PowerShell, Batchfile, C, C#, Objective-C, HTML, Protocol Buffer, PostScript",0,30,2,0,0,449370,59,21,8,0
Data Scientist,qwshy,code_snippets,https://github.com/qwshy/code_snippets,"Python, HTML, CSS, Shell, JavaScript, Batchfile",0,4,1,0,0,4182,59,21,0,0
Data Scientist,qwshy,CollaborativeFiltering,https://github.com/qwshy/CollaborativeFiltering,Python,0,1,2,0,0,106,59,21,0,0
